Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
All,Firefox 65.0,,2019-05-21 15:34:06,2019-05-21 15:35:06,1m - 0.430s,PASSED
,,,,,,
Test Cases/Create a public gist/TC01,Firefox 65.0,,2019-05-21 15:34:06,2019-05-21 15:34:25,19.526s,PASSED
"openBrowser("""")",Firefox 65.0,,2019-05-21 15:34:06,2019-05-21 15:34:10,3.853s,PASSED
"navigateToUrl(""https://gist.github.com/discover"")",Firefox 65.0,,2019-05-21 15:34:10,2019-05-21 15:34:13,3.204s,PASSED
"click(findTestObject(""Object Repository/Create a public gist/TC01/Page_Discover gists  GitHub/a_Signin""))",Firefox 65.0,,2019-05-21 15:34:13,2019-05-21 15:34:15,1.474s,PASSED
"setText(findTestObject(""Object Repository/Create a public gist/TC01/Page_Sign in to GitHub  GitHub/input_Username or email address_login""), ""rickytampubolon97@gmail.com"")",Firefox 65.0,,2019-05-21 15:34:15,2019-05-21 15:34:15,0.069s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Create a public gist/TC01/Page_Sign in to GitHub  GitHub/input_Forgot password_password""), ""aWiFznaQQ9/aU/+XfrlMyg=="")",Firefox 65.0,,2019-05-21 15:34:15,2019-05-21 15:34:15,0.090s,PASSED
"click(findTestObject(""Object Repository/Create a public gist/TC01/Page_Sign in to GitHub  GitHub/input_Forgot password_commit""))",Firefox 65.0,,2019-05-21 15:34:15,2019-05-21 15:34:18,2.933s,PASSED
"navigateToUrl(""https://gist.github.com/"")",Firefox 65.0,,2019-05-21 15:34:18,2019-05-21 15:34:19,1.065s,PASSED
"setText(findTestObject(""Object Repository/Create a public gist/TC01/Page_Create a new Gist/input_See all of your gists_gistdescription""), ""Looping in PHP"")",Firefox 65.0,,2019-05-21 15:34:19,2019-05-21 15:34:19,0.069s,PASSED
"click(findTestObject(""Object Repository/Create a public gist/TC01/Page_Create a new Gist/div_1""))",Firefox 65.0,,2019-05-21 15:34:19,2019-05-21 15:34:19,0.237s,PASSED
